Operator,Sequence Length,Repetition Number,Sequence,True Value,GPT-4 Value,
*,22,8,59 * 17 * 31 * 13 * 2 * 3 * 89 * 31 * 13 * 113 * 83 * 53 * 2 * 67 * 97 * 73 * 61 * 19 * 43 * 53 * 11 * 71,84637509502356730336295859533124,413111231292267776852238118398746678116197142558554634806486411282614339431641832,
*,22,9,103 * 17 * 17 * 67 * 71 * 41 * 11 * 89 * 73 * 61 * 17 * 3 * 67 * 19 * 37 * 2 * 109 * 7 * 89 * 101 * 3 * 31,77559790792424936270183741809746,61144158205370255937374439890637472718214200,
*,22,10,2 * 79 * 23 * 29 * 7 * 41 * 37 * 47 * 67 * 31 * 67 * 61 * 31 * 59 * 43 * 113 * 103 * 71 * 59 * 2 * 103 * 61,21513485533691752589190850265480884,25018643213065896986788856889867871727414200,
*,22,11,13 * 41 * 2 * 107 * 5 * 19 * 13 * 79 * 67 * 113 * 2 * 47 * 31 * 79 * 73 * 17 * 41 * 113 * 113 * 23 * 53 * 5,76805293185886850698368435664900,1182219833121415579994763784700,
*,22,12,41 * 79 * 79 * 19 * 83 * 97 * 53 * 7 * 11 * 31 * 113 * 103 * 109 * 103 * 29 * 61 * 43 * 43 * 23 * 7 * 107 * 101,3682518335547244059929964552536200469,539305646827141647421004714454299887978777324343,
*,22,13,13 * 79 * 109 * 47 * 11 * 61 * 31 * 61 * 17 * 73 * 113 * 89 * 17 * 3 * 79 * 67 * 43 * 109 * 19 * 83 * 107 * 59,1049502763251577876517256884688690477,1102121481220309584898398017103402541051243,
*,22,14,73 * 59 * 107 * 113 * 31 * 37 * 109 * 7 * 109 * 29 * 37 * 11 * 23 * 73 * 73 * 127 * 97 * 31 * 2 * 89 * 109 * 43,2289652713111793863012450991098111502,11998899834059491794709363181410620955325400,
*,22,15,89 * 43 * 73 * 17 * 61 * 97 * 103 * 13 * 29 * 2 * 97 * 71 * 67 * 13 * 113 * 71 * 19 * 71 * 3 * 19 * 2 * 73,1179139192805898285159000095041164,32826350373747640889675935219528995329800,
*,22,16,61 * 19 * 31 * 5 * 41 * 97 * 83 * 73 * 11 * 103 * 67 * 2 * 83 * 2 * 89 * 37 * 29 * 19 * 19 * 3 * 73 * 47,38712692434459580733893957453820,55905513011889761989379121400,
*,22,18,43 * 5 * 19 * 107 * 103 * 109 * 61 * 59 * 17 * 43 * 59 * 97 * 7 * 7 * 89 * 37 * 61 * 2 * 37 * 23 * 2 * 107,264882645689698094697964056751180,2909909159138593970996093920,
*,22,19,43 * 41 * 43 * 67 * 13 * 61 * 109 * 73 * 37 * 59 * 53 * 83 * 59 * 109 * 53 * 59 * 103 * 2 * 23 * 101 * 89 * 59,15552157755315686680106727432048453106,27246694744952767564612363130476719501141918259896,
*,23,0,113 * 31 * 113 * 107 * 83 * 59 * 47 * 61 * 83 * 61 * 37 * 89 * 23 * 103 * 41 * 11 * 101 * 3 * 71 * 31 * 101 * 61 * 89,3873515540087465365498922832461090436129,5172696860780148162562026347247939462692993435640093118238874668891232554667189881053988298047,
*,23,1,7 * 17 * 97 * 101 * 127 * 61 * 103 * 101 * 67 * 59 * 19 * 11 * 7 * 29 * 73 * 67 * 3 * 13 * 101 * 13 * 5 * 7 * 5,690663343756413672959527614075675,38393178794674652783469939245701600,
*,23,2,7 * 29 * 23 * 47 * 47 * 67 * 29 * 67 * 113 * 29 * 43 * 67 * 103 * 71 * 127 * 17 * 71 * 107 * 97 * 31 * 101 * 101 * 31,1445822917609679442466405798231045465871,2024252020976752410034310349107771187749238309740172027,
*,23,3,113 * 83 * 23 * 19 * 71 * 107 * 113 * 5 * 97 * 109 * 59 * 5 * 43 * 127 * 17 * 107 * 79 * 29 * 101 * 41 * 127 * 53 * 109,3793936686086053321238550700367907075275,1962330533653085521846947790460554020717693915,
*,23,4,31 * 101 * 41 * 3 * 127 * 31 * 47 * 31 * 3 * 19 * 41 * 97 * 79 * 53 * 7 * 29 * 61 * 23 * 47 * 41 * 29 * 7 * 3,700808352691632294134377951755597,2705027471992360259035903887352996013062695676119,
*,23,5,83 * 47 * 31 * 17 * 47 * 19 * 89 * 31 * 103 * 67 * 47 * 107 * 17 * 3 * 97 * 103 * 61 * 59 * 29 * 109 * 89 * 127 * 2,23035231900582364581628092040942801274,1352875679224029163410637065042343834198,
*,23,6,19 * 107 * 5 * 37 * 31 * 37 * 71 * 59 * 127 * 113 * 43 * 2 * 61 * 53 * 11 * 127 * 113 * 2 * 31 * 73 * 113 * 2 * 59,68694039519704066165697038536797080,2761811232524691068965220289725447832340,
*,23,7,23 * 101 * 101 * 37 * 61 * 73 * 97 * 59 * 97 * 43 * 5 * 19 * 17 * 61 * 83 * 127 * 83 * 71 * 71 * 71 * 97 * 37 * 127,12974882433745055518129488760338663056015,42887940231893597373107232619822858255508946667409891181576419886673638368609268666203967709396290128273812570521519854842369324634497843736633805953759291821071161305513855163257659023999985,
*,23,8,79 * 7 * 79 * 73 * 97 * 43 * 107 * 2 * 7 * 17 * 5 * 89 * 47 * 43 * 97 * 47 * 101 * 97 * 109 * 71 * 127 * 37 * 17,8412096481141137904917137221623285670,1619549546982338690197451231237780,
*,23,9,47 * 71 * 113 * 113 * 107 * 43 * 79 * 113 * 17 * 17 * 31 * 71 * 7 * 97 * 61 * 89 * 23 * 13 * 23 * 71 * 83 * 83 * 89,1228519140859130737452910562959279700983,6333434418921449532159533493718447279,
*,23,10,101 * 89 * 41 * 127 * 71 * 79 * 31 * 29 * 2 * 79 * 113 * 5 * 127 * 107 * 41 * 59 * 17 * 11 * 5 * 71 * 7 * 37 * 43,512048585626832533402032194268587450,1438905763781921949219782675489538781860,
*,23,11,101 * 67 * 29 * 97 * 71 * 79 * 53 * 37 * 59 * 43 * 5 * 19 * 19 * 3 * 97 * 71 * 31 * 7 * 7 * 73 * 89 * 2 * 59,23069097333745614433275161844469710,20757490168596297278999448290580,
*,23,12,107 * 103 * 23 * 113 * 13 * 113 * 79 * 23 * 107 * 71 * 79 * 17 * 79 * 2 * 67 * 67 * 103 * 17 * 47 * 73 * 37 * 53 * 127,827783975964774386882853534555701567338,3333104304972173112455728148477058516269476146,
*,23,13,79 * 2 * 73 * 53 * 19 * 5 * 59 * 2 * 7 * 13 * 23 * 89 * 31 * 113 * 107 * 2 * 53 * 103 * 23 * 5 * 3 * 101 * 107,19476544871423309995940046595800,21441444548907518055901963673252220200,
*,23,14,67 * 13 * 127 * 83 * 73 * 103 * 5 * 19 * 17 * 79 * 7 * 37 * 109 * 17 * 7 * 61 * 71 * 41 * 127 * 31 * 127 * 29 * 7,533298188704392988599683641057590395,16797494625860157636384572767074891753446759720942022942867358134734986771427310482189145251039674326791889889961018453054639748920512777449,
*,23,15,89 * 19 * 97 * 11 * 2 * 97 * 2 * 127 * 19 * 73 * 19 * 61 * 23 * 73 * 53 * 73 * 89 * 67 * 107 * 19 * 13 * 5 * 13,9510682713764362052474631081096380,41730190225811820592845824310226574640610901884920563473242716240,
*,23,16,109 * 103 * 97 * 107 * 113 * 97 * 47 * 3 * 41 * 2 * 37 * 79 * 31 * 109 * 31 * 97 * 67 * 97 * 79 * 13 * 3 * 89 * 127,99262400913348519031309897948940063598,31505325591442890717668604997072671071443913420912619039611439784436511113239827419821408567420963290734300,
*,23,17,113 * 11 * 83 * 89 * 97 * 3 * 43 * 43 * 101 * 13 * 19 * 59 * 127 * 107 * 2 * 89 * 3 * 17 * 97 * 109 * 41 * 43 * 11,183933304441108644728540263857447906,13446150923841178964188731340,
*,23,18,101 * 109 * 83 * 29 * 71 * 113 * 109 * 73 * 59 * 71 * 127 * 89 * 17 * 31 * 79 * 17 * 19 * 67 * 2 * 83 * 97 * 47 * 107,5843737371399256162972695595578686091394,102247984979514236903553618861169398098,
*,23,19,59 * 107 * 53 * 103 * 113 * 113 * 59 * 83 * 109 * 2 * 127 * 13 * 17 * 47 * 19 * 61 * 67 * 71 * 107 * 19 * 29 * 97 * 23,449404849966423689537361622619496142182,33404393650211054350373204626113931451754091853740,
*,24,0,47 * 59 * 103 * 17 * 29 * 59 * 101 * 83 * 83 * 29 * 113 * 41 * 113 * 107 * 11 * 79 * 7 * 47 * 89 * 11 * 5 * 107 * 13 * 37,676368428791872115075295424802602440735,4262422209412969744907301652345010398056427186628092925,
*,24,1,113 * 109 * 11 * 103 * 2 * 83 * 73 * 113 * 109 * 109 * 23 * 29 * 59 * 103 * 11 * 5 * 67 * 31 * 113 * 59 * 61 * 127 * 109 * 5,2959184261281963949631486888522650773550,23520383967157832487488842383426220831765427590209101500,
*,24,2,107 * 11 * 73 * 73 * 41 * 13 * 71 * 97 * 83 * 107 * 2 * 19 * 43 * 101 * 19 * 7 * 53 * 109 * 73 * 83 * 7 * 37 * 101 * 23,94518910294740240727047188523076338226,3943385143664159270560145381012415780633263667749300,
*,24,3,31 * 19 * 2 * 127 * 2 * 97 * 103 * 7 * 53 * 83 * 71 * 113 * 109 * 7 * 127 * 53 * 107 * 113 * 5 * 41 * 71 * 13 * 7 * 103,6256535839885961431554282363417716860,30128892592505293129537738374140,
*,24,4,103 * 23 * 29 * 107 * 53 * 79 * 53 * 127 * 2 * 47 * 5 * 5 * 97 * 19 * 79 * 43 * 97 * 2 * 67 * 97 * 127 * 47 * 113 * 29,75169977332922390994100666147645209700,1354636700930580530049438976445265851630340,
*,24,5,19 * 29 * 19 * 3 * 113 * 17 * 37 * 2 * 101 * 127 * 61 * 37 * 71 * 43 * 61 * 47 * 73 * 113 * 13 * 47 * 107 * 11 * 83 * 71,39550511813020857781920151962215578818,3353026883241761961686618575373208343629789071420,
*,24,6,67 * 101 * 37 * 7 * 5 * 53 * 97 * 7 * 89 * 23 * 7 * 113 * 3 * 31 * 59 * 2 * 109 * 3 * 109 * 73 * 71 * 5 * 41 * 17,3607689169871067640321213755143850,1801439824106357949177915081986053342286059059398588823703700,
*,24,7,127 * 11 * 11 * 19 * 43 * 113 * 83 * 79 * 47 * 101 * 127 * 103 * 43 * 83 * 3 * 67 * 127 * 17 * 67 * 17 * 43 * 37 * 97 * 37,5818587399144450159233023476741172427583,7199267387753373365941279436854788700,
*,24,8,3 * 47 * 61 * 89 * 109 * 43 * 61 * 59 * 17 * 31 * 71 * 47 * 127 * 13 * 73 * 7 * 13 * 67 * 79 * 61 * 11 * 97 * 17 * 53,77306291759148675908825526486680589009,16242509795393527438369153734970994864271721474718621352723,
*,24,9,71 * 61 * 47 * 47 * 41 * 59 * 11 * 19 * 103 * 2 * 41 * 67 * 29 * 83 * 5 * 37 * 53 * 17 * 107 * 109 * 73 * 29 * 2 * 89,4826315175569002443522748019398956980,40805788619552036317804631218620145600,
*,24,10,107 * 67 * 109 * 83 * 73 * 5 * 17 * 53 * 7 * 17 * 103 * 37 * 113 * 103 * 11 * 83 * 107 * 59 * 29 * 73 * 13 * 7 * 43 * 83,446167333250576678468419780880783306315,7028725095742523444831296404188960843906700,
*,24,11,37 * 61 * 41 * 2 * 5 * 29 * 43 * 97 * 41 * 113 * 59 * 61 * 109 * 103 * 113 * 53 * 79 * 113 * 113 * 97 * 11 * 109 * 29 * 97,41415262075474218324839431359860755589870,42729990767224368694779824580635112157668584340,
*,24,13,89 * 71 * 109 * 97 * 89 * 97 * 17 * 13 * 113 * 43 * 59 * 5 * 71 * 113 * 109 * 113 * 101 * 89 * 3 * 37 * 41 * 29 * 31 * 31,20584999099556095489229059011857348838255,4341390147189257761990245244413258071984073663839037100,
*,24,14,89 * 41 * 29 * 73 * 11 * 109 * 61 * 109 * 71 * 79 * 67 * 13 * 17 * 29 * 31 * 103 * 5 * 11 * 97 * 31 * 37 * 23 * 17 * 11,12464847067945263733705959921263666185,1647849677717460664025261967308273391453249280,
*,24,15,7 * 31 * 2 * 43 * 37 * 31 * 89 * 19 * 61 * 71 * 2 * 23 * 109 * 97 * 53 * 17 * 109 * 83 * 83 * 37 * 73 * 59 * 2 * 101,1660523006665968580163833710352833736,12393752589666775799061585352619597814682826200,
*,24,16,29 * 37 * 79 * 29 * 17 * 127 * 11 * 97 * 23 * 89 * 31 * 83 * 31 * 127 * 7 * 59 * 37 * 11 * 19 * 109 * 79 * 41 * 61 * 7,56536419318466154633084914311677035429,13946124010448690825651445789178912445822977419484131300,
*,24,17,31 * 47 * 47 * 79 * 31 * 73 * 23 * 79 * 97 * 23 * 107 * 127 * 7 * 2 * 71 * 73 * 2 * 7 * 59 * 71 * 127 * 101 * 107 * 37,145736819769359171387102173739668843564,27046208735336634587763064538945817663421408228944215418200,
*,24,18,113 * 113 * 53 * 89 * 7 * 17 * 13 * 109 * 73 * 2 * 19 * 43 * 11 * 109 * 13 * 109 * 7 * 2 * 2 * 61 * 67 * 2 * 2 * 37,34860041915272188127083377879072,12409705203425667600492995942724,
*,24,19,23 * 89 * 113 * 127 * 67 * 41 * 17 * 67 * 43 * 89 * 83 * 13 * 113 * 59 * 37 * 53 * 73 * 2 * 127 * 3 * 89 * 47 * 37 * 127,5425521481805559739514164624785911833182,22428759025110377243592820292448933993261703840,
